id,name,state,city,website,x,y,avg_groomer,avg_lift,avg_park,avg_vibe
1,Huff Hills,ND,Mandan,https://www.huffhills.com/,46.627,-100.723,,,,
2,Frost Fire,ND,Walhalla,https://skimap.org/data/283/2200/1597004678.jpg,48.912,-98.068,,,,
3,Bottineau Winter Park,ND,Bottineau,https://skibwp.com/,48.951,-100.476,,,,
4,Terry Peak,SD,Lead,https://terrypeak.com/,44.335,-103.84,,,,
5,Great Bear,SD,Sioux Falls,https://www.greatbearpark.com/,43.578,-96.665,,,,
6,Deer Mountain,SD,Lead,https://skimap.org/data/235/1923/1479871115.jpg,44.308,-103.817,,,,
7,Hyland Hills,MN,Bloomington,https://www.threeriversparks.org/location/hyland-hills-ski-area,44.844,-93.363,,,,
8,Buck Hill,MN,Burnsville,https://buckhill.com/,44.725,-93.282,,,,
9,Wild Mountain,MN,Taylors Falls,https://wildmountain.com/,45.489,-92.705,,,,
10,Elm Creek,MN,Maple Grove,https://www.threeriversparks.org/location/elm-creek-winter-recreation-area/,45.139,-93.439,,,,
11,Afton Alps,MN,Hastings,https://www.aftonalps.com/,44.857,-92.788,,,,
12,Welch Village,MN,Welch,https://www.welchvillage.com/index.cfm,44.561,-92.73,,,,
13,Spirit Mountain,MN,Duluth,https://www.spiritmt.com/,46.718,-92.217,,,,
14,Ski Gull,MN,Nisswa,https://www.mountskigull.com/,46.448,-94.377,,,,
15,Powder Ridge,MN,Kimball,https://powderridgepark.com/,45.344,-94.304,,,,
16,Mount Kato,MN,Mankato,https://www.mountkato.com/,44.134,-94.033,,,,
17,Mount Itasca,MN,Coleraine,https://mtitasca.square.site/,47.287,-93.447,,,,
18,Lutsen Mountains,MN,Lutsen,https://www.lutsen.com/,47.663,-90.713,,,,
19,Giants Ridge,MN,Biwabik,https://www.giantsridge.com/,47.579,-92.304,,,,
20,Detroit Mountain,MN,Detroit Lakes,https://detroitmountain.com/,46.813,-95.784,,,,
21,Coffee Mill Ski Area,MN,Wabasha,http://www.coffeemillski.com/,44.362,-92.042,,,,
22,Chester Bowl Park,MN,Duluth,https://www.chesterbowl.org/,46.814,-92.097,,,,
23,Buena Vista Ski Area,MN,Bemidiji,https://www.bvskiarea.com/,47.659,-94.88,,,,
24,Andes Tower Hills,MN,Kensington,https://www.andestowerhills.com/,45.852,-95.631,,,,
25,Trollhaugen,WI,Dresser,https://www.trollhaugen.com/,45.352,-92.617,,,,
26,Sunburst Ski Area,WI,Kewaskum,https://skisunburst.com/,43.494,-88.221,,,,
27,Little Switzerland,WI,Slinger,https://www.littleswitz.com/,43.339,-88.278,,,,
28,The Rock Snowpark,WI,Franklin,https://www.rocksnowpark.com/,42.919,-88.014,,,,
29,Cascade Mountain,WI,Portage,https://www.dcski.com/lostareas/viewlostprofile.php?id=8,45.503,-89.515,,,,
30,Alpine Valley,WI,East Troy,https://www.alpinevalleyresort.com/,42.735,-88.428,,,,
31,Wilmont Mountain,WI,Wilmont,https://www.wilmotmountain.com/,42.499,-88.187,,,,
32,Nordic Mountain,WI,Wild Rose,https://www.nordicmountain.com/,44.122,-89.181,,,,
33,The Mountain Top at Grand Geneva,WI,Lake Geneva,https://www.grandgeneva.com/ski-snow-sports,42.612,-88.388,,,,
34,Granite Peak,WI,Wausau,https://www.skigranitepeak.com/,44.928,-89.683,,,,
35,Devil's Head Resort,WI,Merrimac,https://www.devilsheadresort.com/,43.417,-89.627,,,,
36,Christmas Mountain,WI,Wisconsin Dells,https://www.christmasmountainvillage.com/,43.614,-89.86,,,,
37,Whitetail Ridge,WI,Sparta,https://www.skiwhitetail.com/,44.022,-90.722,,,,
38,Whitecap Mountains,WI,Upson,https://whitecapresort.com/,46.408,-90.398,,,,
39,Standing Rocks Park,WI,Stevens Point,https://www.co.portage.wi.us/department/parks/standing-rocks-park,44.431,-89.401,,,,
40,Powers Bluff,WI,Arpin,http://www.co.wood.wi.us/departments/parks/PowersBluff.aspx,44.526,-90.065,,,,
41,Mt. La Crosse,WI,LaCrosse,https://mtlacrosse.com/,43.744,-91.182,,,,
42,Mt. Ashwabay,WI,Salmo,https://www.mtashwabay.org/,46.775,-90.899,,,,
43,Mont du Lac,WI,Superior,https://mdlresort.com/winter/,46.652,-92.284,,,,
